"title_name","title_price","title_sub_title","title_mileage","title_year","title_engine_l","title_engine_type","title_localization_1","title_localization_2","title_negotiable"
"Volvo V50 1.6D","9 200","Volvo V50 2005r.","262 km","2005","1 560 cm3","Diesel","Starogard Gdański","(Pomorskie)","Do negocjacji"
"Ford Fiesta 1.6","14 899","Ford Fiesta 1.6TDCI 2010r.Klima Serwis","120 000 km","2010","1 560 cm3","Diesel","Leśna","(Dolnośląskie)",""
"Alfa Romeo Giulietta 1.4","38 383","Giulietta # Bezpośrednio # Salon Polska # Bezwypadkowa","127 000 km","2012","1 368 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Fiat Qubo","14 800","Fajny fiat","147 000 km","2009","1 400 cm3","Benzyna","Warszawa","(Mazowieckie)",""
"Audi S3","120 900","Audi s3 8v sedan","51 444 km","2015","1 984 cm3","Benzyna","Grodzisk Wielkopolski","(Wielkopolskie)","Do negocjacji"
"Renault Scenic","3 800","1.4 benzyna+gaz sekwencyjny zadbany klimatyzacja","267 000 km","2003","Benzyna+LPG","","Wałbrzych","(Dolnośląskie)","Do negocjacji"
"Audi A3 1.6","17 200","1.6+LPG","224 000 km","2006","1 595 cm3","Benzyna+LPG","Rybnik","(Śląskie)","Do negocjacji"
"Hyundai Terracan 2.9","13 900","* LIFT * 4x4 * SKÓRA * ZERO RDZY * Bardzo Ładny * Opłacony","239 000 km","2005","2 902 cm3","Diesel","Zamość","(Lubelskie)",""
"Ford Fiesta","7 500","","140 000 km","2007","1 299 cm3","Benzyna","Choszczno","(Zachodniopomorskie)","Do negocjacji"
"Opel Astra","21 900","Z_Niemiec_1.6Benz_Alu_Klima_Serwis_2xKoła_5Drzwi_100%Oryginał","199 291 km","2011","1 598 cm3","Benzyna","Elbląg","(Warmińsko-mazurskie)",""
"Fiat Seicento Active","5 500","Bardzo zadbany, mały przebieg, ważne opłaty","100 000 km","2006","1 108 cm3","Benzyna","Wrocław","(Dolnośląskie)","Do negocjacji"
"Toyota Avensis 1.8","32 700","Salon PL,I wł,Serwis,Bezwypadkowy,Bixenon, Key Less,Polecam !!","151 000 km","2011","1 798 cm3","Benzyna","Żelazowa Wola","(Mazowieckie)","Do negocjacji"
"Citroën C4 Grand Picasso Gr","51 900","Pure Tech 131KM 100% BEZWYPADKOWY","137 000 km","2016","1 199 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Renault Grand Scenic III","30 100","","170 000 km","2009","Benzyna+LPG","","Warszawa","(Mazowieckie)","Do negocjacji"
"Citroën C4 Grand Picasso","16 300","Sprzedam Citroen C4 Grand Picasso","163 000 km","2009","1 600 cm3","Diesel","Radom","(Mazowieckie)","Do negocjacji"
"Audi A6","9 990","Quattro 2.7 DIESEL","290 000 km","2006","2 700 cm3","Diesel","Rokocin","(Pomorskie)","Do negocjacji"
"Škoda RAPID 1.0","47 000","Skoda Rapid 2019r 15.000km Pierwszy właściciel","15 000 km","2019","999 cm3","Benzyna","Toruń","(Kujawsko-pomorskie)",""
"BMW Seria 1","19 000","Piękne BMW godne uwagi","246 000 km","2008","1 995 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Mini Cooper S Standard","30 777","Mini Cooper S 184km bardzo bogata wersja 78tys. km JCW ! Zamiana","78 000 km","2010","1 598 cm3","Benzyna","Swarzędz","(Wielkopolskie)","Do negocjacji"
"Opel Meriva","7 900","1.6 16v Klima ! Z Niemiec!","172 000 km","2004","1 598 cm3","Benzyna","Czersk","(Pomorskie)","Do negocjacji"
"Renault Megane 1.6","34 900","1.6 16V 110KM ZEN Salon RP I WŁ 119TKM Bezwypadkowy Stan BDB FV23% LPG","118 988 km","2014","1 598 cm3","Benzyna+LPG","Łódź","(Łódzkie)","Faktura VAT"
"Kia Sportage 2.0","38 000","KIA Sportage","217 500 km","2010","1 998 cm3","Diesel","Kostrzyn nad Odrą","(Lubuskie)",""
"Volkswagen Jetta","37 900","Jetta 2015 * Benzyna 2.0 * 87 000 km Wersja Stany Zjednoczone .","87 000 km","2015","1 981 cm3","Benzyna","Więckowice","(Małopolskie)",""
"Renault Captur","38 900",",,CAPTUR ''1.5dci 90km, Automat","107 000 km","2015","1 461 cm3","Diesel","Gniezno","(Wielkopolskie)","Do negocjacji"
"Fiat Punto 1.4","4 300","Fiat Punto Sporting II FL 1,4 LPG","198 000 km","2004","1 368 cm3","Benzyna+LPG","Mogilany","(Małopolskie)","Do negocjacji"
"Audi A3 8P","17 900","2005r # 2.0 Benzyna 150KM # Pierwszy właściciel # Opłacona z Niemiec","259 000 km","2005","2 000 cm3","Benzyna","Pisz","(Warmińsko-mazurskie)","Do negocjacji, Faktura VAT"
"BMW Seria 1 118d","7 300","Anglik, prosze czytać opis do końca","157 255 km","2008","1 995 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Peugeot 508 2.2","35 000","Peugeot 508 2.2 GT","139 900 km","2011","2 179 cm3","Diesel","Gnieździska","(Świętokrzyskie)",""
"Opel Insignia","49 077","1.6CDTI 136KM 43000km !","42 000 km","2016","1 598 cm3","Diesel","Komorniki","(Wielkopolskie)","Możliwość odliczenia VAT, Faktura VAT"
"Volvo S40 2.0D","7 899","VOLVO S40 2.0d R design SKÓRA alufelgi tempomat ORI przebieg","401 000 km","2004","1 998 cm3","Diesel","Skwierzyna","(Lubuskie)","Do negocjacji"
"Mercedes-Benz Klasa C 200","29 500","Mercedes C 200 2.2CDI Jeden właściciel !","180 184 km","2009","2 148 cm3","Diesel","Ropa","(Małopolskie)","Do negocjacji"
"BMW M3 CS","239 000","M3 Competition Carbon M Performance","28 000 km","2018","2 979 cm3","Benzyna","Nowy Targ","(Małopolskie)","Do negocjacji"
"Volkswagen Fox 1.2","8 900","1.2 HTP Sprowadzony, Klimatyzacja","120 488 km","2010","1 198 cm3","Benzyna","Puławy","(Lubelskie)","Do negocjacji"
"Mazda 3 2.0","27 500","EXCLUSIVE,Lift 2012,Klimatronik,Bluetooth,przebieg 91tyś,Biała Perła","92 400 km","2012","1 999 cm3","Benzyna","Dobryszyce","(Łódzkie)",""
"Toyota Auris 1.33","42 000","Toyota Auris w bardzo dobrym stanie z małym przebiegiem","34 220 km","2016","1 329 cm3","Benzyna","Podkowa Leśna","(Mazowieckie)",""
"Volkswagen Golf V","25 400","","273 000 km","2005","1 984 cm3","Benzyna","Dzierżoniów","(Dolnośląskie)","Do negocjacji"
"BMW Seria 1 118i","130 800","Msport kubełkowe fotele ostatnie sztuki 2019r","5 600 km","2019","1 499 cm3","Benzyna","Kraków","(Małopolskie)","Faktura VAT"
"Citroën C-Elysée 1.6","23 200","Z Polskiego Salonu","170 000 km","2015","1 587 cm3","Benzyna+LPG","Niegowa","(Śląskie)","Do negocjacji"
"BMW Seria 1 118d","13 900","2.0 D 122KM Drugi Właściciel od Nowości Ładna Model 2006","232 128 km","2005","1 995 cm3","Diesel","Trzebinia","(Małopolskie)","Do negocjacji"
"Citroën C4","9 800","C4 1.6HDI, zarejestrowany PL","252 748 km","2007","1 560 cm3","Diesel","Tomaszów Mazowiecki","(Łódzkie)","Do negocjacji"
"BMW Seria 3","6 600","BMW E46 sedan tanio","250 000 km","2003","2 000 cm3","Diesel","Lublin","(Lubelskie)",""
"Peugeot 306","2 500","Peugeot 306","214 000 km","1997","1 587 cm3","Benzyna+LPG","Choczewo","(Pomorskie)",""
"Honda Civic 1.5","89 900","Salon Polska","11 000 km","2019","1 498 cm3","Benzyna","Bytom","(Śląskie)","Faktura VAT"
"Volkswagen Golf","16 000","Sprzedam","110 000 km","2009","1 390 cm3","Benzyna","Nowy Sącz","(Małopolskie)",""
"BMW Seria 5","31 900","E60 LIFT 520D Navi Bi Xenon Ringi Szyber Klimatronik Alu z NIEMIEC","171 000 km","2008","2 000 cm3","Diesel","Radom","(Mazowieckie)","Do negocjacji"
"Chevrolet Camaro","199 900","Coupe 6.2 V8 455KM AT8 Wersja EU! (Fabryczna Gwarancja, 1 Własciciel)","4 500 km","2019","6 162 cm3","Benzyna","Wrocław","(Dolnośląskie)",""
"Seat Ibiza","1 899","Zadbany","164 352 km","1995","1 391 cm3","Benzyna","Koszalin","(Zachodniopomorskie)","Do negocjacji"
"Volkswagen Golf VI","35 000","Cabrio Kabriolet Bezwypadkowy Stan Jak Nowy !","135 000 km","2012","1 197 cm3","Benzyna","Toruń","(Kujawsko-pomorskie)","Do negocjacji"
"Suzuki Grand Vitara","35 900","Suzuki Grand Vitara 2.0 Benz*4X4* Szwajcaria *WIDEO PREZENTACJA","153 000 km","2008","2 000 cm3","Benzyna","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Škoda Yeti","31 900","Ambition# 1.2TSI # DSG 7biegów #Niski Przebieg#","98 000 km","2012","1 197 cm3","Benzyna","Czernikowo","(Kujawsko-pomorskie)","Do negocjacji"
"Audi A4","8 000","Anglik, prosze czytać opis do końca","278 000 km","2008","1 968 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Ford Mondeo 2.0","58 000","Ford Mondeo mk5 Tytanium XX","175 000 km","2016","1 997 cm3","Diesel","Miechów","(Małopolskie)","Do negocjacji"
"Suzuki Grand Vitara 2.0","14 999","sprowadzona bardzo ładna 2.0 BENZYNA","230 000 km","2004","1 995 cm3","Benzyna","Połczyn-Zdrój","(Zachodniopomorskie)","Do negocjacji"
"Škoda Superb","26 900 000","","320 000 km","2009","Diesel","","Siedlce","(Mazowieckie)","Do negocjacji"
"Opel Astra","2 900","Opel Astra Gaz","213 000 km","2002","1 400 cm3","Benzyna+LPG","Sochaczew-Wieś","(Mazowieckie)","Do negocjacji"
"Citroën C4 1.6","18 500","Citroen C4 1.6 HDI","157 100 km","2010","1 560 cm3","Diesel","Przemyśl","(Podkarpackie)","Do negocjacji"
"Audi A3","46 986","Salon Pl! 1 Właściciel! Dobrze Wyposażony! Stan Dobry! F. VAT 23%!","180 940 km","2019","1 498 cm3","Benzyna","Warszawa","(Mazowieckie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"Peugeot 206 CC","7 000","Peugeot 206cc ROLAND GARROS srebrny Cappuccino","180 000 km","2006","1 587 cm3","Benzyna","Piotrków Trybunalski","(Łódzkie)","Do negocjacji, Faktura VAT"
"Chevrolet Camaro","225 000","Coupe 6.2 V8 455KM AT8 Wersja EU! (Fabryczna Gwarancja, FV23)","4 500 km","2019","6 162 cm3","Benzyna","Wrocław","(Dolnośląskie)","Faktura VAT"
"Audi A3 8L","5 500","Skóra LPG Automat Klimatyzacja Okazja!","230 600 km","2000","1 781 cm3","Benzyna+LPG","Kraków","(Małopolskie)","Do negocjacji"
"Peugeot 206 CC","7 000","Peugeot 206cc ROLAND GARROS srebrny Cappuccino","180 000 km","2006","1 587 cm3","Benzyna","Piotrków Trybunalski","(Łódzkie)","Do negocjacji, Faktura VAT"
"Chevrolet Camaro","225 000","Coupe 6.2 V8 455KM AT8 Wersja EU! (Fabryczna Gwarancja, FV23)","4 500 km","2019","6 162 cm3","Benzyna","Wrocław","(Dolnośląskie)","Faktura VAT"
"Audi A3 8L","5 500","Skóra LPG Automat Klimatyzacja Okazja!","230 600 km","2000","1 781 cm3","Benzyna+LPG","Kraków","(Małopolskie)","Do negocjacji"
"Kia Ceed 1.6","7 500","1.6 CRDI 2010","236 000 km","2010","1 582 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Audi Coupe","44 900","2.8 Quattro Skora Alu Super Stan","157 000 km","1991","2 771 cm3","Benzyna","Nysa","(Opolskie)","Do negocjacji"
"Citroën C3 1.2","33 500","PERFEKCYJNY Opłacony rej, 256 zł tablet","45 000 km","2017","1 199 cm3","Benzyna","Miasteczko Śląskie","(Śląskie)",""
"Ford Mondeo","39 900","Ford Mondeo","181 400 km","2015","1 560 cm3","Diesel","Kłodawa","(Lubuskie)","Do negocjacji"
"Peugeot 3008","33 900","Panoramadach / Grudzień 2012r / przebieg tylko 30 tys.","30 400 km","2012","1 600 cm3","Benzyna","Kleszczów","(Śląskie)","Do negocjacji"
"BMW Seria 3 320i","21 000","E90 150 KM Garażowane","146 540 km","2005","1 995 cm3","Benzyna","Biłgoraj","(Lubelskie)","Do negocjacji"
"BMW Seria 3 320d","19 900","BMW E91 Xenon Panorama Skóra","269 000 km","2007","1 995 cm3","Diesel","Sierpc","(Mazowieckie)","Do negocjacji"
"Audi A4 2.0","44 800","Audi A4 Avant 2.0 TDI B8 Lift automat","216 045 km","2012","1 968 cm3","Diesel","Skierdy","(Mazowieckie)",""
"Peugeot RCZ 2.0","56 500","2,0HDi 163PS Klima Navi Alu Podg. Fotele Xenon JBL GT Line","45 565 km","2015","1 997 cm3","Diesel","Gliwice","(Śląskie)",""
"Opel Astra III","10 490","Opel Astra GTC 1.9 d.2006r.Klima Serwis","215 000 km","2006","1 910 cm3","Diesel","Leśna","(Dolnośląskie)",""
"Ford Focus","2 700","","250 240 km","2002","1 753 cm3","Diesel","Świdnica","(Dolnośląskie)","Do negocjacji"
"Nissan X-Trail 2.0","25 000","Sprzedam samochód NISSAN X TRAIL T 31","193 000 km","2008","1 995 cm3","Diesel","Paradyż","(Łódzkie)",""
"Renault Grand Espace Gr","12 900","2.0T 170KM Privilege Full Serwis ASO Certyfikat NAVI Zobacz!","244 317 km","2005","1 998 cm3","Benzyna","Garwolin","(Mazowieckie)","Do negocjacji"
"BMW Seria 3 320d","14 600","Bmw E90","320 000 km","2005","1 995 cm3","Diesel","Września","(Wielkopolskie)","Do negocjacji"
"Toyota Corolla","108 900","Corolla Hybrid Executive VIP / SalonPL / Gwarancja 12.2022 /FVAT23%","16 000 km","2019","1 798 cm3","Hybryda","Warszawa","(Mazowieckie)","Faktura VAT"
"Alfa Romeo 156 1.9","7 600","Alfa Romeo 156 Sportwagon 1.9JTD","202 409 km","2005","1 910 cm3","Diesel","Kraków","(Małopolskie)",""
"Mercedes-Benz W201 (190)","9 900","","171 000 km","1988","Benzyna","","Milicz","(Dolnośląskie)",""
"Porsche 928","9 500","","140 000 km","1980","4 500 cm3","Benzyna","Gniezno","(Wielkopolskie)",""
"Peugeot 301","35 900","Peugeot 301 1.6 Vti 115km Active","33 463 km","2018","1 587 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Suzuki Grand Vitara 1.9","16 900","SUZUKI Grand Vitara II","174 000 km","2006","1 870 cm3","Diesel","Olsztyn","(Warmińsko-mazurskie)","Do negocjacji"
"BMW Seria 3 330xd","20 900","","280 000 km","2006","2 993 cm3","Diesel","Wrocław","(Dolnośląskie)",""
"Opel Corsa","1 800","","240 000 km","2001","Benzyna","","Jędrzejów","(Świętokrzyskie)",""
"Volkswagen Golf VI","28 500","1.4 BENZYNA wersja Match","68 240 km","2012","1 390 cm3","Benzyna","Konin","(Wielkopolskie)",""
"Daewoo Lanos","2 400","LPG! Opłaty na rok!","274 306 km","2000","1 500 cm3","Benzyna+LPG","Wysokie Mazowieckie","(Podlaskie)","Do negocjacji"
"Toyota Avensis 2.0","14 500","2.0 D4D 126 KM hak,hatchback,osoba prytwatna","309 700 km","2007","1 998 cm3","Diesel","Chrząszczówka","(Mazowieckie)","Do negocjacji"
"Hyundai i40","51 537","1.7CRDi 141KM*Salon PL*Serwisowany w ASO*Gwarancja fabryczna!","159 000 km","2016","1 685 cm3","Diesel","Warszawa","(Mazowieckie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"Ford Fiesta","13 000","1.4 TDCI , oryginalny przebieg","186 260 km","2009","1 399 cm3","Diesel","Ostrów Wielkopolski","(Wielkopolskie)","Do negocjacji"
"Volkswagen Polo 1.0","32 000","VW Polo V 2016 Sprzedam Niski Przebieg 1 Właściciel","32 000 km","2016","999 cm3","Benzyna","Krynica-Zdrój","(Małopolskie)",""
"Honda Accord 2.0","33 000","Honda Accord Executive 2.0 i VTEC,","99 000 km","2008","1 997 cm3","Benzyna","Stalowa Wola","(Podkarpackie)","Do negocjacji"
"Opel Corsa","1 750","!!! Bemowo !!! 1.0 Benzyna + LPG, 2000 rok !!! LPG NA 7 LAT !!!","175 319 km","2000","1 000 cm3","Benzyna+LPG","Warszawa","(Mazowieckie)",""
"Suzuki Vitara","12 900","Santana 300 1.6 HDI 4x4 Klimatyzacja","84 000 km","2008","1 560 cm3","Diesel","Tuchola","(Kujawsko-pomorskie)","Do negocjacji"
"Honda CR-V","16 900","mały przebieg bezwypadkowy,stan bdb.","154 800 km","2003","1 998 cm3","Benzyna","Prandocin","(Małopolskie)",""
"Audi A6","129 700","C7 2.0 TDi 190 KM 2x S line S tronic LED MATRIX ORYGINAŁ F.Vat 23%","100 100 km","2017","2 000 cm3","Diesel","Radom","(Mazowieckie)","Faktura VAT"
"Fiat Grande Punto Gr","9 900","Grande Punto","105 000 km","2006","1 242 cm3","Benzyna","Rudziczka","(Śląskie)","Do negocjacji"
"Ford Mondeo","19 600","FORD MONDEO MK IV 2.0 benzyna/gaz kombi – salon Polska ~ I rej. 2010","174 000 km","2009","1 999 cm3","Benzyna+LPG","Kowale","(Pomorskie)","Do negocjacji"
"Škoda Octavia 1.9","10 990","Skoda Octavia 2005r. Klimatronic Serwis","218 000 km","2005","1 896 cm3","Diesel","Leśna","(Dolnośląskie)",""
"Jeep Grand Cherokee","249 000","Jeep Grand Cherokee SRT","90 000 km","2017","6 417 cm3","Benzyna","Grajewo","(Podlaskie)","Do negocjacji"
"Ford Fusion 1.4","5 600","Ford Fusion 1.4 CTDi orurowany zadbany","183 000 km","2003","1 399 cm3","Diesel","Tomaszów Mazowiecki","(Łódzkie)","Do negocjacji"
"Lexus UX","76 900","2020 Fsport 250H salon uszkodzony faktura VAT","23 000 km","2019","2 000 cm3","Hybryda","Olsztynek","(Warmińsko-mazurskie)",""
"Audi A6 C6","23 900","2005r * 3.0 TDI 225KM * FULL OPCJA * S line * Opłacona z Niemiec","216 000 km","2005","3 000 cm3","Diesel","Pisz","(Warmińsko-mazurskie)","Do negocjacji, Faktura VAT"
"Audi A5","79 000","","85 000 km","2016","1 798 cm3","Benzyna","Gdynia","(Pomorskie)",""
"Suzuki Swift","18 900","","94 000 km","2010","1 328 cm3","Benzyna","Konstancin-Jeziorna","(Mazowieckie)","Do negocjacji"
"Škoda Octavia 1.4","59 000","","51 000 km","2015","1 395 cm3","Benzyna","Świętochłowice","(Śląskie)","Do negocjacji, Faktura VAT"
"Ford Transit","98 999","DW4EN48 # Transit Custom Kombi 320 L2H1 Trend # 130KM #","21 857 km","2019","2 000 cm3","Diesel","Wrocław","(Dolnośląskie)","Faktura VAT"
"Mazda 6 2.0","9 900","mazda 6 , bezwypadkowa, krajowa, stan techniczny idealny","188 000 km","2007","1 998 cm3","Diesel","Rzeszów","(Podkarpackie)",""
"Honda FR-V 1.8","12 500","1.8VTEC GAZ 140PS 6 OSOB zarejestrowany i ubezpieczony","262 000 km","2007","1 799 cm3","Benzyna+LPG","Sieradz","(Łódzkie)",""
"Chevrolet Captiva","24 900","Oryginalny przebieg tylko 126.000km, 2x komplety kół, oferta prywatna!","126 000 km","2007","2 000 cm3","Diesel","Gniezno","(Wielkopolskie)","Do negocjacji"
"Renault Trafic","21 900","nowe wtryski!łańcuch!olej,długie Oci Pt","502 346 km","2007","1 995 cm3","Diesel","Krapkowice","(Opolskie)","Do negocjacji"
"Škoda Kodiaq 2.0","135 500","Style 2.0 TSI 190 KM 4x4 DSG","10 km","2019","1 984 cm3","Benzyna","Nowy Sącz","(Małopolskie)","Faktura VAT"
"Volkswagen Passat","7 900","Volkswagen Passat B6 1.9 TDI Sedan! Nowy rozrząd i dwumasa! Okazja!","302 654 km","2005","1 900 cm3","Diesel","Rzeszów","(Podkarpackie)","Do negocjacji"
"Mercedes-Benz Klasa S","46 000","500SEC mercedes w126 coupe","199 215 km","1983","5 000 cm3","Benzyna","Toruń","(Kujawsko-pomorskie)",""
"BMW Seria 3","39 900","BMW seria 3 automat","226 000 km","2011","1 995 cm3","Diesel","Rawicz","(Wielkopolskie)","Do negocjacji"
"Škoda Citigo 1.0","22 140","Skoda Citigo bardzo dobry stan. Bogata wersja.","112 000 km","2016","999 cm3","Benzyna+LPG","Katowice","(Śląskie)","Możliwość odliczenia VAT, Faktura VAT"
"Volvo V50 1.6D","16 900","Volvo V50","164 000 km","2008","1 560 cm3","Diesel","Sopot","(Pomorskie)",""
"Opel Adam 1.4","24 900","Perfekcyjny Opłacony rej.256 zł Klimatronik navi","152 000 km","2013","1 398 cm3","Benzyna","Miasteczko Śląskie","(Śląskie)",""
"Nissan Juke 1.5","37 200","sprzedam","86 000 km","2013","1 461 cm3","Diesel","Rzeszów","(Podkarpackie)","Do negocjacji"
"Volvo V50 1.6D","10 000","Volvo V50 1.6D od osoby prywatnej","214 600 km","2006","1 560 cm3","Diesel","Podnieśno","(Mazowieckie)","Do negocjacji"
"Suzuki Jimny 1.3","16 300","4X4 KLIMATYZACJA salon polska BEZWYPADKOWY Łańcuch rozrządu Serwis ASO","142 495 km","2006","1 328 cm3","Benzyna","Pruszków","(Mazowieckie)","Do negocjacji"
"BMW Seria 3 318Ci","12 200","BMW e46 318Ci","208 641 km","2001","1 895 cm3","Benzyna","Żywiec","(Śląskie)","Do negocjacji"
"BMW Seria 1","139 900","118i M sport Z DOSTAWĄ DO DOMU - Bawaria Motors Katowice FV23%","12 000 km","2019","1 500 cm3","Benzyna","Katowice","(Śląskie)",""
"BMW Seria 5","94 900","520d xDrive Limousine #zostanwdomu a my dostarczymy Twoje nowe BMW","86 670 km","2015","1 995 cm3","Diesel","Falenty","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Mazda 6 2.0","9 900","mazda 6 , bezwypadkowa, krajowa, stan techniczny idealny","188 000 km","2007","1 998 cm3","Diesel","Rzeszów","(Podkarpackie)",""
"Honda FR-V 1.8","12 500","1.8VTEC GAZ 140PS 6 OSOB zarejestrowany i ubezpieczony","262 000 km","2007","1 799 cm3","Benzyna+LPG","Sieradz","(Łódzkie)",""
"Renault Trafic","21 900","nowe wtryski!łańcuch!olej,długie Oci Pt","502 346 km","2007","1 995 cm3","Diesel","Krapkowice","(Opolskie)","Do negocjacji"
"Chevrolet Captiva","24 900","Oryginalny przebieg tylko 126.000km, 2x komplety kół, oferta prywatna!","126 000 km","2007","2 000 cm3","Diesel","Gniezno","(Wielkopolskie)","Do negocjacji"
"Škoda Kodiaq 2.0","135 500","Style 2.0 TSI 190 KM 4x4 DSG","10 km","2019","1 984 cm3","Benzyna","Nowy Sącz","(Małopolskie)","Faktura VAT"
"Volkswagen Passat","7 900","Volkswagen Passat B6 1.9 TDI Sedan! Nowy rozrząd i dwumasa! Okazja!","302 654 km","2005","1 900 cm3","Diesel","Rzeszów","(Podkarpackie)","Do negocjacji"
"Mercedes-Benz Klasa S","46 000","500SEC mercedes w126 coupe","199 215 km","1983","5 000 cm3","Benzyna","Toruń","(Kujawsko-pomorskie)",""
"BMW Seria 3","39 900","BMW seria 3 automat","226 000 km","2011","1 995 cm3","Diesel","Rawicz","(Wielkopolskie)","Do negocjacji"
"Škoda Citigo 1.0","22 140","Skoda Citigo bardzo dobry stan. Bogata wersja.","112 000 km","2016","999 cm3","Benzyna+LPG","Katowice","(Śląskie)","Możliwość odliczenia VAT, Faktura VAT"
"Volvo V50 1.6D","16 900","Volvo V50","164 000 km","2008","1 560 cm3","Diesel","Sopot","(Pomorskie)",""
"Opel Adam 1.4","24 900","Perfekcyjny Opłacony rej.256 zł Klimatronik navi","152 000 km","2013","1 398 cm3","Benzyna","Miasteczko Śląskie","(Śląskie)",""
"Volvo V50 1.6D","10 000","Volvo V50 1.6D od osoby prywatnej","214 600 km","2006","1 560 cm3","Diesel","Podnieśno","(Mazowieckie)","Do negocjacji"
"Nissan Juke 1.5","37 200","sprzedam","86 000 km","2013","1 461 cm3","Diesel","Rzeszów","(Podkarpackie)","Do negocjacji"
"Suzuki Jimny 1.3","16 300","4X4 KLIMATYZACJA salon polska BEZWYPADKOWY Łańcuch rozrządu Serwis ASO","142 495 km","2006","1 328 cm3","Benzyna","Pruszków","(Mazowieckie)","Do negocjacji"
"BMW Seria 3 318Ci","12 200","BMW e46 318Ci","208 641 km","2001","1 895 cm3","Benzyna","Żywiec","(Śląskie)","Do negocjacji"
"BMW Seria 1","139 900","118i M sport Z DOSTAWĄ DO DOMU - Bawaria Motors Katowice FV23%","12 000 km","2019","1 500 cm3","Benzyna","Katowice","(Śląskie)",""
"BMW Seria 5","94 900","520d xDrive Limousine #zostanwdomu a my dostarczymy Twoje nowe BMW","86 670 km","2015","1 995 cm3","Diesel","Falenty","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Volkswagen Golf","9 990","OC:marzec 2021, przegląd:listopad 2020. Zapraszam do kontaktu","193 942 km","2004","Benzyna","","Rybnik","(Śląskie)","Do negocjacji"
"Opel Astra II","3 999","Opel Astra 1.6 benzyna +gaz","226 000 km","2003","1 598 cm3","Benzyna+LPG","Łódź","(Łódzkie)","Do negocjacji"
"Audi A6 3.0","64 500","Audi A6 C7 2012r 245km","225 000 km","2012","2 967 cm3","Diesel","Bolesławiec","(Dolnośląskie)","Do negocjacji"
"Honda Civic","4 300","uszkodzone 1.8 benzyna 140 km 97 tys mil","97 563 km","2010","Benzyna","","Pszczyna","(Śląskie)","Do negocjacji"
"Ford Focus 1.6","29 999","1.6 Turbo 150ps TITANIUM gwarantowany przebieg, stan igła!!!","87 000 km","2011","1 596 cm3","Benzyna","Podgórzyn","(Dolnośląskie)",""
"Hyundai i10 1.1","11 000","Hyundai i10 1.1 benzyna *wersja comfort*","173 000 km","2009","1 086 cm3","Benzyna","Kcynia","(Kujawsko-pomorskie)","Do negocjacji"
"Ford Focus 1.5","30 900","SALON POLSKA / FV23%/ Gwarancja Serwisowa/ Pakiet Gold X","149 112 km","2017","1 498 cm3","Diesel","Rybnik","(Śląskie)","Możliwość odliczenia VAT, Faktura VAT"
"Alfa Romeo 159","22 500","ALFA ROMEO 159 2.4 jtdm 210 km SW","253 589 km","2008","2 387 cm3","Diesel","Sokołów Podlaski","(Mazowieckie)","Do negocjacji"
"Toyota Yaris","23 900","Diesel, Tempomat, Klimatyzacja, Kamera cofania","100 600 km","2013","1 364 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Chevrolet Aveo","6 990","1.2 Benzyna/5 drzwi/Możliwość zakupu już auta zarejestrowanego w PL.","109 000 km","2009","1 206 cm3","Benzyna","Sławno","(Zachodniopomorskie)","Do negocjacji"
"Mercedes-Benz Klasa C","178 000","Mercedes Benz c300 4 Matic 2019 Amg Night Pakiet Lift","17 400 km","2019","1 991 cm3","Benzyna","Kalisz","(Wielkopolskie)",""
"Renault Trafic","15 000","Trafic 9 osobowy, klimatyzacja","348 012 km","2003","1 870 cm3","Diesel","Sierpc","(Mazowieckie)","Faktura VAT"
"BMW Seria 3","18 700","328i Unikat Bezwypadkowa Niski przebieg Piękna sztuka","150 000 km","1999","2 800 cm3","Benzyna","Zawiercie","(Śląskie)","Do negocjacji"
"Škoda Fabia","17 200","Klimatronik, Tempomat, komputer, LED,podgrzewane fotele, wielofunkcja","46 562 km","2014","1 197 cm3","Benzyna","Kłobuck","(Śląskie)",""
"Škoda Octavia","8 500","1.9 TDI Hatchback 2008r Bardzo zadbane auto Salon PL","334 500 km","2008","1 900 cm3","Diesel","Bielsko-Biała","(Śląskie)",""
"Renault Trafic","15 000","Trafic 9 osobowy, klimatyzacja","348 012 km","2003","1 870 cm3","Diesel","Sierpc","(Mazowieckie)","Faktura VAT"
"BMW Seria 3","18 700","328i Unikat Bezwypadkowa Niski przebieg Piękna sztuka","150 000 km","1999","2 800 cm3","Benzyna","Zawiercie","(Śląskie)","Do negocjacji"
